language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
english,SVC,Sidorovbigramsform Sidorovbigramsdeprel relationformADJ deprelneg ngrams deprel,0.736,0.617,0.671,0.532,0.662,0.590,0.634,0.640,0.631,0.635,3834,784
english,SVC,Sidorovbigramsform Sidorovbigramsdeprel relationformADJ ngrams deprel,0.736,0.617,0.671,0.532,0.662,0.590,0.634,0.640,0.631,0.635,3834,784
english,SVC,Sidorovbigramsform Sidorovbigramsupostag Sidorovbigramsdeprel deprelneg ngrams deprel,0.736,0.617,0.671,0.532,0.662,0.590,0.634,0.640,0.631,0.635,3834,784
english,SVC,Sidorovbigramsform Sidorovbigramsupostag Sidorovbigramsdeprel ngrams deprel,0.736,0.617,0.671,0.532,0.662,0.590,0.634,0.640,0.631,0.635,3834,784
french,LR,chargrams relationformADJ deprel deprelneg,0.747,0.790,0.768,0.526,0.465,0.494,0.636,0.628,0.631,0.682,5853,1464
french,LR,chargrams relationformNOUN deprel ngram,0.746,0.797,0.771,0.530,0.457,0.491,0.638,0.627,0.631,0.684,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsdeprel deprel,0.746,0.797,0.771,0.530,0.457,0.491,0.638,0.627,0.631,0.684,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag deprel deprelneg,0.746,0.797,0.771,0.530,0.457,0.491,0.638,0.627,0.631,0.684,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag deprel relationformVERB,0.746,0.797,0.771,0.530,0.457,0.491,0.638,0.627,0.631,0.684,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag deprel relationformVERB ngrams deprelneg,0.746,0.797,0.771,0.530,0.457,0.491,0.638,0.627,0.631,0.684,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag relationformVERB deprelneg,0.747,0.790,0.768,0.526,0.465,0.494,0.636,0.628,0.631,0.682,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform,0.748,0.783,0.765,0.521,0.473,0.496,0.635,0.628,0.631,0.680,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel ngrams deprelneg,0.747,0.790,0.768,0.526,0.465,0.494,0.636,0.628,0.631,0.682,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag deprel deprelneg,0.746,0.797,0.771,0.530,0.457,0.491,0.638,0.627,0.631,0.684,5853,1464
french,LR,chargrams Sidorovbigramsform ngram,0.747,0.790,0.768,0.526,0.465,0.494,0.636,0.628,0.631,0.682,5853,1464
french,SVC,deprelneg Sidorovbigramsdeprel chargrams ngram,0.751,0.771,0.760,0.515,0.488,0.501,0.633,0.629,0.631,0.676,5853,1464
english,SVC,relationformVERB Sidorovbigramsform chargram,0.726,0.643,0.682,0.537,0.630,0.580,0.631,0.636,0.631,0.638,3834,784
english,SVC,relationformVERB Sidorovbigramsform deprelneg chargram,0.726,0.643,0.682,0.537,0.630,0.580,0.631,0.636,0.631,0.638,3834,784
italian,LR,deprelneg Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.650,0.574,0.610,0.617,0.690,0.652,0.634,0.632,0.631,0.632,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel relationformNOUN,0.633,0.627,0.630,0.629,0.635,0.632,0.631,0.631,0.631,0.631,3977,872
italian,LR,relationformADJ Sidorovbigramsupostag,0.629,0.641,0.635,0.632,0.621,0.627,0.631,0.631,0.631,0.631,3977,872
italian,LR,relationformVERB deprel Sidorovbigramsform,0.634,0.622,0.628,0.628,0.639,0.633,0.631,0.631,0.631,0.631,3977,872
italian,LR,relationformVERB deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag,0.635,0.620,0.627,0.627,0.641,0.634,0.631,0.631,0.631,0.631,3977,872
italian,LR,Sidorovbigramsdeprel,0.630,0.638,0.634,0.632,0.623,0.627,0.631,0.631,0.631,0.631,3977,872
italian,SVC,Sidorovbigramsupostag deprel deprelneg relationformNOUN,0.629,0.641,0.635,0.632,0.621,0.627,0.631,0.631,0.631,0.631,3977,872
italian,SVC,Sidorovbigramsupostag deprel deprelneg relationformVERB,0.631,0.634,0.632,0.631,0.628,0.629,0.631,0.631,0.631,0.631,3977,872
french,SVC,Sidorovbigramsupostag chargrams ngram,0.751,0.771,0.760,0.515,0.488,0.501,0.633,0.629,0.631,0.676,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel,0.747,0.788,0.767,0.524,0.467,0.494,0.636,0.628,0.631,0.681,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform Sidorovbigramsupostag ngram,0.747,0.788,0.767,0.524,0.467,0.494,0.636,0.628,0.631,0.681,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsupostag ngrams deprelneg,0.747,0.788,0.767,0.524,0.467,0.494,0.636,0.628,0.631,0.681,5853,1464
english,RF,ngrams deprelneg chargrams relationformNOUN,0.715,0.674,0.694,0.544,0.592,0.567,0.630,0.633,0.631,0.642,3834,784
french,SVC,relationformADJ deprelneg Sidorovbigramsdeprel chargrams relationformVERB,0.750,0.776,0.762,0.518,0.482,0.499,0.634,0.629,0.631,0.678,5853,1464
french,SVC,relationformNOUN Sidorovbigramsdeprel chargrams ngram,0.750,0.776,0.762,0.518,0.482,0.499,0.634,0.629,0.631,0.678,5853,1464
french,SVC,Sidorovbigramsdeprel chargrams relationformVERB,0.750,0.776,0.762,0.518,0.482,0.499,0.634,0.629,0.631,0.678,5853,1464
italian,SVC,relationformADJ Sidorovbigramsdeprel chargrams relationformNOUN,0.660,0.552,0.601,0.613,0.715,0.660,0.637,0.633,0.631,0.633,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag deprel relationformNOUN,0.627,0.650,0.638,0.635,0.612,0.623,0.631,0.631,0.631,0.631,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag deprelneg relationformVERB,0.627,0.650,0.638,0.635,0.612,0.623,0.631,0.631,0.631,0.631,3977,872
italian,SVC,relationformADJ Sidorovbigramsupostag deprelneg relationformVERB,0.628,0.648,0.637,0.634,0.614,0.624,0.631,0.631,0.631,0.631,3977,872
italian,SVC,Sidorovbigramsdeprel Sidorovbigramsupostag relationformVERB relationformNOUN,0.638,0.609,0.623,0.624,0.653,0.638,0.631,0.631,0.631,0.631,3977,872
french,SVC,Sidorovbigramsform relationformADJ relationformNOUN deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.750,0.776,0.762,0.518,0.482,0.499,0.634,0.629,0.631,0.678,5853,1464
french,LR,chargrams Sidorovbigramsform Sidorovbigramsdeprel deprel ngram,0.746,0.795,0.770,0.528,0.459,0.491,0.637,0.627,0.631,0.683,5853,1464
french,LR,chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag deprel relationformVERB ngrams deprelneg,0.746,0.795,0.770,0.528,0.459,0.491,0.637,0.627,0.631,0.683,5853,1464
french,SVC,deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams ngrams relationformVERB,0.750,0.774,0.762,0.516,0.484,0.500,0.633,0.629,0.631,0.677,5853,1464
french,SVC,relationformADJ deprelneg deprel Sidorovbigramsupostag chargrams relationformVERB,0.749,0.781,0.764,0.520,0.475,0.497,0.634,0.628,0.631,0.679,5853,1464
english,SVC,relationformVERB chargram,0.725,0.645,0.682,0.537,0.627,0.579,0.631,0.636,0.631,0.638,3834,784
english,SVC,relationformVERB deprelneg chargram,0.725,0.645,0.682,0.537,0.627,0.579,0.631,0.636,0.631,0.638,3834,784
english,SVC,relationformVERB deprelneg ngram,0.725,0.645,0.682,0.537,0.627,0.579,0.631,0.636,0.631,0.638,3834,784
english,SVC,relationformVERB ngram,0.725,0.645,0.682,0.537,0.627,0.579,0.631,0.636,0.631,0.638,3834,784
english,SVC,relationformVERB Sidorovbigramsform Sidorovbigramsdeprel relationformADJ chargram,0.721,0.655,0.687,0.540,0.614,0.574,0.630,0.635,0.631,0.639,3834,784
english,SVC,relationformVERB Sidorovbigramsform Sidorovbigramsdeprel relationformADJ deprelneg chargram,0.721,0.655,0.687,0.540,0.614,0.574,0.630,0.635,0.631,0.639,3834,784
english,SVC,Sidorovbigramsdeprel deprelneg ngrams deprel,0.734,0.620,0.672,0.533,0.659,0.589,0.633,0.639,0.631,0.635,3834,784
english,SVC,Sidorovbigramsdeprel ngrams deprel,0.734,0.620,0.672,0.533,0.659,0.589,0.633,0.639,0.631,0.635,3834,784
italian,SVC,relationformADJ ngrams deprelneg relationformVERB relationformNOUN,0.670,0.533,0.594,0.611,0.736,0.667,0.640,0.634,0.631,0.634,3977,872
italian,SVC,relationformADJ ngrams relationformVERB relationformNOUN,0.670,0.533,0.594,0.611,0.736,0.667,0.640,0.634,0.631,0.634,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel,0.626,0.652,0.639,0.636,0.609,0.622,0.631,0.631,0.631,0.631,3977,872
french,SVC,Sidorovbigramsform relationformADJ deprelneg Sidorovbigramsupostag chargrams ngram,0.751,0.768,0.760,0.514,0.490,0.502,0.632,0.629,0.631,0.676,5853,1464
french,SVC,Sidorovbigramsform relationformADJ relationformNOUN deprel Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.749,0.781,0.764,0.520,0.475,0.497,0.634,0.628,0.631,0.679,5853,1464
french,SVC,Sidorovbigramsform relationformNOUN deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams ngrams relationformVERB,0.749,0.781,0.764,0.520,0.475,0.497,0.634,0.628,0.631,0.679,5853,1464
french,LR,chargrams relationformADJ Sidorovbigramsdeprel relationformVERB ngram,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
french,LR,chargrams relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag relationformVERB deprelneg,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
french,LR,chargrams relationformNOUN deprel deprelneg,0.746,0.793,0.769,0.527,0.461,0.492,0.637,0.627,0.630,0.682,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsdeprel ngram,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform relationformADJ Sidorovbigramsupostag ngram,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
french,LR,chargrams relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel relationformVERB ngrams deprelneg,0.746,0.793,0.769,0.527,0.461,0.492,0.637,0.627,0.630,0.682,5853,1464
french,LR,chargrams Sidorovbigramsdeprel Sidorovbigramsupostag relationformVERB,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
french,LR,chargrams Sidorovbigramsform relationformADJ relationformVERB deprelneg,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
french,LR,chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag deprel relationformVERB,0.746,0.793,0.769,0.527,0.461,0.492,0.637,0.627,0.630,0.682,5853,1464
french,LR,chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag deprel relationformVERB,0.746,0.793,0.769,0.527,0.461,0.492,0.637,0.627,0.630,0.682,5853,1464
french,SVC,relationformADJ deprel Sidorovbigramsdeprel chargram,0.749,0.779,0.763,0.519,0.478,0.497,0.634,0.628,0.630,0.678,5853,1464
french,SVC,relationformADJ deprelneg deprel Sidorovbigramsupostag chargram,0.749,0.779,0.763,0.519,0.478,0.497,0.634,0.628,0.630,0.678,5853,1464
french,SVC,relationformADJ relationformNOUN deprel Sidorovbigramsupostag chargrams relationformVERB,0.749,0.779,0.763,0.519,0.478,0.497,0.634,0.628,0.630,0.678,5853,1464
french,SVC,relationformNOUN deprelneg deprel Sidorovbigramsdeprel Sidorovbigramsupostag chargrams ngram,0.748,0.786,0.766,0.523,0.469,0.495,0.635,0.628,0.630,0.680,5853,1464
italian,RF,relationformADJ relationformVERB relationformNOUN,0.608,0.787,0.686,0.696,0.490,0.575,0.652,0.638,0.630,0.639,3977,872
italian,LR,relationformVERB deprelneg relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.653,0.568,0.607,0.616,0.697,0.654,0.634,0.632,0.630,0.632,3977,872
